Peptide_Index	prediction_probability	prediction_label
0	0.5356564	1
2	0.70763355	1
3	0.6046748	1
4	0.50232804	1
5	0.5244679	1
7	0.53519505	1
8	0.53656757	1
9	0.53067464	1
10	0.53621954	1
11	0.58274764	1
12	0.51343346	1
13	0.53055036	1
15	0.60798377	1
16	0.58274764	1
17	0.52285963	1
18	0.5397719	1
19	0.5327851	1
20	0.52930045	1
21	0.53405035	1
22	0.54788154	1
23	0.5931711	1
24	0.5182386	1
25	0.5526194	1
26	0.5341297	1
27	0.52526504	1
28	0.58892834	1
29	0.52556545	1
30	0.5862967	1
31	0.5070848	1
32	0.50996035	1
33	0.58274764	1
34	0.50819546	1
35	0.51967186	1
36	0.52966785	1
37	0.5281122	1
38	0.52888143	1
39	0.52736825	1
40	0.52398247	1
41	0.5168187	1
42	0.5361004	1
43	0.5157554	1
44	0.5203574	1
45	0.524816	1
46	0.5300369	1
47	0.51555616	1
48	0.57847786	1
49	0.69145525	1
50	0.52477866	1
51	0.5228884	1
52	0.6098903	1
54	0.5681139	1
55	0.52734107	1
56	0.5311343	1
57	0.5061379	1
58	0.5345141	1
59	0.5302776	1
60	0.5302776	1
61	0.53100264	1
62	0.52969724	1
63	0.53166896	1
64	0.6906968	1
65	0.5957022	1
66	0.54262954	1
67	0.5214392	1
68	0.5322713	1
69	0.5397424	1
72	0.50507075	1
73	0.5056506	1
74	0.6069374	1
75	0.52876437	1
76	0.5193622	1
78	0.57270294	1
79	0.55871433	1
80	0.5225271	1
81	0.53746444	1
82	0.50732124	1
83	0.53139436	1
84	0.5252881	1
86	0.53606194	1
87	0.51091033	1
88	0.52101475	1
89	0.53541833	1
90	0.57439166	1
91	0.523861	1
92	0.5944547	1
93	0.52045536	1
94	0.5063589	1
95	0.5343829	1
96	0.60518324	1
97	0.61735314	1
98	0.5153236	1
99	0.5536015	1
100	0.5257505	1
101	0.6001987	1
102	0.5545484	1
103	0.5181868	1
105	0.52242625	1
106	0.5003255	1
107	0.68897897	1
108	0.52101475	1
109	0.520228	1
110	0.515073	1
113	0.520205	1
114	0.5072516	1
115	0.5200963	1
116	0.5295671	1
117	0.5817157	1
118	0.5188164	1
119	0.53204453	1
120	0.5166403	1
121	0.6010004	1
122	0.52975965	1
124	0.5208669	1
125	0.5199377	1
126	0.50823885	1
127	0.5379667	1
128	0.50660074	1
129	0.5301833	1
130	0.51663333	1
131	0.6724186	1
132	0.51621723	1
133	0.5162188	1
134	0.68804973	1
135	0.5368214	1
136	0.6093819	1
137	0.5278085	1
139	0.5384104	1
140	0.5212913	1
141	0.55151635	1
142	0.52094805	1
143	0.5239566	1
144	0.51716673	1
145	0.51965034	1
146	0.53040296	1
147	0.52827287	1
148	0.52101475	1
149	0.51964915	1
150	0.52975965	1
152	0.5086355	1
153	0.50942075	1
154	0.52538085	1
155	0.5281122	1
157	0.5241722	1
158	0.5147153	1
159	0.5344116	1
160	0.5151691	1
161	0.59370744	1
162	0.50951344	1
163	0.52164763	1
165	0.5126567	1
166	0.5189136	1
167	0.50495225	1
168	0.6098903	1
169	0.6109215	1
170	0.5303054	1
171	0.5238572	1
172	0.50495225	1
173	0.5135822	1
174	0.51926863	1
175	0.5223536	1
176	0.5170354	1
177	0.6098903	1
178	0.5228884	1
180	0.51977354	1
181	0.51716673	1
182	0.58876425	1
183	0.58274764	1
184	0.52136403	1
185	0.6899441	1
187	0.5300759	1
188	0.55295426	1
189	0.5179209	1
190	0.5365192	1
191	0.509201	1
192	0.6914084	1
193	0.54098296	1
194	0.5281122	1
195	0.52355266	1
196	0.506259	1
197	0.5016933	1
198	0.5587115	1
199	0.5720362	1
200	0.5095597	1
201	0.51360565	1
202	0.5247687	1
203	0.52781934	1
204	0.5126567	1
205	0.50098556	1
206	0.53824496	1
207	0.52975965	1
208	0.5480245	1
209	0.50951535	1
210	0.5225168	1
211	0.53141207	1
212	0.52833855	1
213	0.5116768	1
214	0.5166835	1
215	0.5047548	1
216	0.5165882	1
219	0.5368005	1
221	0.5148941	1
222	0.60559136	1
223	0.51127714	1
225	0.53166896	1
226	0.53204453	1
227	0.5124431	1
228	0.690192	1
229	0.5063095	1
231	0.53166896	1
232	0.52198386	1
233	0.5048705	1
234	0.5056047	1
235	0.50718176	1
236	0.56531614	1
237	0.53679824	1
238	0.5111879	1
241	0.596317	1
242	0.53307724	1
243	0.5071118	1
244	0.5136557	1
245	0.5133061	1
246	0.50479025	1
247	0.60773534	1
248	0.5067937	1
249	0.5152151	1
250	0.520205	1
251	0.50430536	1
252	0.52101475	1
253	0.5237393	1
254	0.5288058	1
255	0.5165455	1
256	0.5225168	1
257	0.51579124	1
258	0.54087985	1
259	0.52736825	1
260	0.6843957	1
261	0.54685074	1
263	0.520205	1
264	0.5191197	1
268	0.52198386	1
269	0.6997019	1
270	0.5221714	1
271	0.5403134	1
272	0.69154817	1
273	0.5167025	1
274	0.57157826	1
275	0.6118271	1
276	0.516678	1
277	0.5296883	1
278	0.52164763	1
279	0.5295671	1
280	0.60628074	1
281	0.52241653	1
282	0.5217499	1
283	0.52264726	1
284	0.5130888	1
285	0.52101475	1
286	0.50951344	1
287	0.6159339	1
288	0.5271988	1
289	0.5234701	1
290	0.50886756	1
291	0.5272487	1
293	0.5208026	1
294	0.5737087	1
295	0.5391475	1
297	0.50800437	1
299	0.50162446	1
301	0.5147153	1
302	0.5228884	1
303	0.52849185	1
304	0.52365345	1
307	0.55367744	1
308	0.50595456	1
310	0.5194714	1
311	0.6036883	1
312	0.50019443	1
314	0.5060298	1
315	0.52161676	1
316	0.5262589	1
317	0.5157089	1
318	0.52687037	1
320	0.525675	1
322	0.52975965	1
323	0.5444817	1
324	0.6888447	1
325	0.5715096	1
326	0.5039518	1
329	0.53490233	1
330	0.53363204	1
331	0.5057871	1
332	0.5054287	1
333	0.54074633	1
335	0.54762214	1
336	0.5375559	1
337	0.6782866	1
338	0.52975965	1
339	0.5271165	1
340	0.50523776	1
341	0.51965195	1
342	0.6069374	1
343	0.59268755	1
344	0.52736825	1
345	0.53838927	1
346	0.6011057	1
348	0.52875876	1
349	0.5173542	1
350	0.5167613	1
351	0.5132197	1
352	0.5134171	1
353	0.583626	1
354	0.5056047	1
355	0.5148323	1
356	0.5096678	1
357	0.54041094	1
358	0.52422416	1
359	0.51606363	1
360	0.52430844	1
363	0.52430445	1
364	0.5300848	1
365	0.60781837	1
366	0.52571464	1
367	0.60871273	1
368	0.53160244	1
369	0.5225168	1
370	0.51935667	1
371	0.5785176	1
372	0.52101475	1
373	0.5114368	1
375	0.5302015	1
376	0.5845724	1
377	0.58274764	1
378	0.52291083	1
379	0.57455575	1
381	0.5252789	1
382	0.5179209	1
383	0.53817457	1
384	0.58892834	1
385	0.5361004	1
386	0.52105206	1
387	0.5256811	1
388	0.511654	1
389	0.5010966	1
390	0.5249714	1
391	0.5065893	1
392	0.51197106	1
393	0.51183677	1
394	0.5333521	1
395	0.5575119	1
396	0.5338609	1
397	0.52101475	1
398	0.5194714	1
399	0.51307565	1
401	0.5210267	1
402	0.5486395	1
403	0.5161969	1
406	0.54969615	1
407	0.51452124	1
408	0.53112274	1
410	0.6888447	1
411	0.52875876	1
412	0.5724324	1
415	0.52701986	1
416	0.52570426	1
417	0.5019997	1
418	0.5698328	1
419	0.5346039	1
420	0.5957552	1
421	0.5320863	1
422	0.6098903	1
423	0.52242625	1
424	0.52332395	1
425	0.53201795	1
426	0.51902276	1
428	0.5119537	1
429	0.5108353	1
430	0.689487	1
432	0.53094923	1
433	0.51098055	1
434	0.5061434	1
435	0.5300222	1
436	0.5300222	1
437	0.50680304	1
438	0.51977354	1
439	0.53071374	1
440	0.50097746	1
441	0.5302933	1
442	0.58274764	1
443	0.5139082	1
444	0.5115291	1
445	0.53996354	1
446	0.53204453	1
447	0.5511712	1
448	0.6098903	1
449	0.5119743	1
450	0.5295562	1
452	0.6907305	1
453	0.50849575	1
454	0.5195102	1
455	0.6028749	1
456	0.52101475	1
459	0.52042323	1
460	0.5033838	1
461	0.50889295	1
462	0.52640045	1
463	0.51093894	1
464	0.5025063	1
466	0.516678	1
468	0.5497863	1
469	0.54040694	1
470	0.56906694	1
472	0.522604	1
475	0.511114	1
476	0.50200796	1
477	0.5456877	1
478	0.52101475	1
479	0.61560357	1
481	0.51072377	1
483	0.50448185	1
484	0.67103153	1
485	0.53723955	1
486	0.52101475	1
487	0.57939756	1
489	0.5472462	1
490	0.53776336	1
491	0.50864697	1
492	0.5330505	1
493	0.5355039	1
494	0.6349158	1
495	0.5391205	1
497	0.54035264	1
498	0.53633624	1
499	0.520205	1
500	0.5969985	1
501	0.5148323	1
502	0.52101475	1
504	0.53204453	1
505	0.54056036	1
507	0.51407254	1
508	0.54233605	1
509	0.5169341	1
510	0.50542235	1
511	0.5130888	1
512	0.55994344	1
513	0.51101214	1
514	0.52101475	1
515	0.51826435	1
516	0.520506	1
517	0.50108796	1
518	0.53204453	1
519	0.5052888	1
520	0.5223618	1
521	0.52101475	1
522	0.51538295	1
523	0.5133061	1
524	0.50710195	1
525	0.50346494	1
526	0.5022508	1
527	0.53565705	1
528	0.5208356	1
529	0.5538903	1
532	0.5581787	1
533	0.51360565	1
534	0.5361226	1
536	0.53166896	1
537	0.6116754	1
538	0.5278085	1
539	0.5201162	1
540	0.53838134	1
541	0.60897726	1
542	0.5236125	1
543	0.53524727	1
544	0.55464697	1
545	0.5225168	1
546	0.6911529	1
547	0.5327527	1
549	0.6057758	1
550	0.51448977	1
551	0.5225168	1
552	0.5329958	1
553	0.52434367	1
555	0.6962623	1
556	0.5282265	1
557	0.53204453	1
558	0.50641567	1
559	0.50748163	1
560	0.52206004	1
561	0.5089046	1
562	0.50341105	1
563	0.5194714	1
566	0.5208009	1
567	0.6023416	1
568	0.50939035	1
569	0.5541468	1
570	0.5194714	1
571	0.6415951	1
572	0.5180126	1
573	0.5373638	1
574	0.66352403	1
575	0.5233017	1
576	0.53166896	1
577	0.5154595	1
578	0.5229394	1
579	0.5091085	1
580	0.5095612	1
582	0.5225168	1
584	0.5056047	1
586	0.5214392	1
588	0.5206484	1
589	0.5242601	1
590	0.50783145	1
592	0.52005744	1
594	0.51716673	1
595	0.5462291	1
596	0.5318763	1
597	0.6893614	1
598	0.5049957	1
599	0.5243899	1
600	0.51440275	1
601	0.5133061	1
602	0.5150275	1
603	0.54087985	1
604	0.55711794	1
605	0.53829426	1
606	0.68492466	1
607	0.5114441	1
608	0.52009135	1
609	0.58181465	1
610	0.5784196	1
611	0.52217346	1
612	0.5313543	1
614	0.5251719	1
615	0.51930565	1
616	0.5028754	1
617	0.5102092	1
618	0.54152817	1
619	0.5104169	1
623	0.53601426	1
624	0.53162986	1
625	0.5135599	1
626	0.5198347	1
627	0.6116754	1
629	0.5214392	1
630	0.51553184	1
631	0.52977	1
632	0.6862156	1
634	0.52101475	1
635	0.51918465	1
636	0.5917618	1
637	0.58274764	1
638	0.5235869	1
639	0.50507075	1
640	0.52876437	1
641	0.52975965	1
643	0.54492164	1
644	0.5247909	1
645	0.5443068	1
647	0.50606644	1
648	0.520205	1
649	0.5121287	1
650	0.58592445	1
651	0.6012717	1
652	0.52930045	1
653	0.52400583	1
654	0.5254988	1
655	0.51889044	1
656	0.5037281	1
657	0.52004147	1
658	0.52101475	1
659	0.5075977	1
660	0.52101254	1
661	0.54240286	1
662	0.53461623	1
663	0.6098903	1
664	0.53643286	1
665	0.5205543	1
666	0.6143685	1
668	0.5086105	1
669	0.50898176	1
670	0.51285744	1
673	0.52101475	1
674	0.5158242	1
675	0.5225403	1
676	0.52876437	1
677	0.53918236	1
679	0.51943904	1
680	0.5229254	1
681	0.50517136	1
682	0.50976735	1
683	0.5459008	1
684	0.5047386	1
685	0.511721	1
686	0.5157673	1
687	0.53703064	1
688	0.5156196	1
689	0.511943	1
690	0.5339615	1
691	0.5204568	1
693	0.53753465	1
695	0.6000185	1
696	0.52974266	1
698	0.53631264	1
699	0.5196606	1
700	0.5459029	1
701	0.5165129	1
